Campaign,Start Date,End Date,HiRes Cadence,D0 (keV),D1 (keV)
1,2/1/2015,2/21/2015,18.75 ms,FU3:1055 FU4:985,FU3:815
2,3/21/2015,4/19/2015,18.75 ms,FU3:1055 FU4:985,FU3:815 FU4:251
3,5/16/2015,6/15/2015,18.75 ms,FU3:1055 FU4:985,FU3:815 FU4:251
4,7/3/2015,8/4/2015,18.75 ms,FU3:1055 FU4:985,FU3:815 FU4:251
5,8/8/2015,9/4/2015,18.75 ms,FU3:1055 FU4:985,FU3:815 FU4:251
6,11/15/2015,12/15/2015,18.75 ms,FU3:1055 FU4:985,FU3:815 FU4:251
7,1/15/2016,2/3/2016,12.5 ms,FU3:1055 FU4:985,FU3:815 FU4:251
8,2016/5/20,2016/6/9,50 ms,FU3:1055 FU4:985,FU3:251 FU4:251
9,8/12/2016,9/7/2016,50 ms,FU3:1055 FU4:985,FU3:251 FU4:251
10,12/21/2016,1/2/2017,12.5 ms,FU3:1055 FU4:985,FU3:350 FU4:350
11,5/1/2017,5/25/2017,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
12,7/1/2017,7/25/2017,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
13,11/19/2017,12/14/2017,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
14,2/26/2018,4/5/2018,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
15,4/19/2018,5/11/2018,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
16,6/24/2018,7/19/2018,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
17,7/30/2018,8/25/2018,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
18,9/17/2018,10/14/2018,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
19,12/15/2018,1/11/2019,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
20,1/23/2019,2/21/2019,50 ms,FU3:1055 FU4:985,FU3:350 FU4:350
21,3/15/2019,4/10/2019,50 ms,FU3:1055 FU4:985,FU3:325 FU4:325
22,5/4/2019,5/17/2019,12.5 ms,FU3:1055 FU4:985,FU3:325 FU4:325
23,7/4/2019,7/29/2019,50 ms,FU3:1055 FU4:985,FU3:325 FU4:325
24,9/10/2019,10/7/2019,50 ms,FU3:1055 FU4:985,FU3:325 FU4:325
